,roles
0,Accountants
1,Actors
2,Actuaries
3,Acupuncturists
4,Acute Care Nurses
5,Adapted Physical Education Specialists
6,Adhesive Bonding Machine Operators and Tenders
7,"Administrative Law Judges, Adjudicators, and Hearing Officers"
8,Administrative Services Managers
9,Adult Basic and Secondary Education and Literacy Teachers and Instructors
10,Advanced Practice Psychiatric Nurses
11,Advertising Sales Agents
12,Advertising and Promotions Managers
13,Aerospace Engineering and Operations Technicians
14,Aerospace Engineers
15,"Agents and Business Managers of Artists, Performers, and Athletes"
16,Agricultural Engineers
17,Agricultural Equipment Operators
18,Agricultural Inspectors
19,"Agricultural Sciences Teachers, Postsecondary"
20,Agricultural Technicians
21,Air Traffic Controllers
22,Aircraft Cargo Handling Supervisors
23,Aircraft Mechanics and Service Technicians
24,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
25,Airfield Operations Specialists
26,"Airline Pilots, Copilots, and Flight Engineers"
27,Allergists and Immunologists
28,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
29,Amusement and Recreation Attendants
30,Anesthesiologist Assistants
31,Anesthesiologists
32,Animal Breeders
33,Animal Control Workers
34,Animal Scientists
35,Animal Trainers
36,Anthropologists
37,"Anthropology and Archeology Teachers, Postsecondary"
38,"Appraisers, Real Estate"
39,Aquacultural Managers
40,"Arbitrators, Mediators, and Conciliators"
41,Archeologists
42,"Architects, Except Landscape and Naval"
43,Architectural Drafters
44,Architectural and Engineering Managers
45,"Architecture Teachers, Postsecondary"
46,Archivists
47,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
48,Art Directors
49,Art Therapists
50,"Art, Drama, and Music Teachers, Postsecondary"
51,Assessors
52,Astronomers
53,Athletes and Sports Competitors
54,Athletic Trainers
55,Atmospheric and Space Scientists
56,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
57,Audio and Video Equipment Technicians
58,Audio-Visual and Multimedia Collections Specialists
59,Audiologists
60,Auditors
61,Automotive Body and Related Repairers
62,Automotive Engineering Technicians
63,Automotive Engineers
64,Automotive Glass Installers and Repairers
65,Automotive Master Mechanics
66,Automotive Specialty Technicians
67,Automotive and Watercraft Service Attendants
68,Aviation Inspectors
69,Avionics Technicians
70,Baggage Porters and Bellhops
71,Bailiffs
72,Bakers
73,Barbers
74,Baristas
75,Bartenders
76,Bicycle Repairers
77,Bill and Account Collectors
78,"Billing, Cost, and Rate Clerks"
79,Biochemical Engineers
80,Biochemists and Biophysicists
81,Biofuels Processing Technicians
82,Biofuels Production Managers
83,Biofuels/Biodiesel Technology and Product Development Managers
84,Bioinformatics Scientists
85,Bioinformatics Technicians
86,"Biological Science Teachers, Postsecondary"
87,Biological Technicians
88,Biologists
89,Biomass Plant Technicians
90,Biomass Power Plant Managers
91,Biomedical Engineers
92,Biostatisticians
93,Boilermakers
94,"Bookkeeping, Accounting, and Auditing Clerks"
95,Brickmasons and Blockmasons
96,Bridge and Lock Tenders
97,Broadcast News Analysts
98,Broadcast Technicians
99,Brokerage Clerks
100,Brownfield Redevelopment Specialists and Site Managers
101,Budget Analysts
102,"Bus Drivers, School or Special Client"
103,"Bus Drivers, Transit and Intercity"
104,Bus and Truck Mechanics and Diesel Engine Specialists
105,Business Continuity Planners
106,Business Intelligence Analysts
107,"Business Teachers, Postsecondary"
108,Butchers and Meat Cutters
109,"Buyers and Purchasing Agents, Farm Products"
110,Cabinetmakers and Bench Carpenters
111,"Camera Operators, Television, Video, and Motion Picture"
112,Camera and Photographic Equipment Repairers
113,Cardiovascular Technologists and Technicians
114,"Career/Technical Education Teachers, Middle School"
115,"Career/Technical Education Teachers, Secondary School"
116,Cargo and Freight Agents
117,Carpet Installers
118,Cartographers and Photogrammetrists
119,Cashiers
120,Cement Masons and Concrete Finishers
121,Chefs and Head Cooks
122,Chemical Engineers
