id,skill
0,CEASER
0,CAAD
0,Design
0,piping
0,thermal power plants
0,boiler
0,turbine
1,3D Modelling
1,drawing
1,Design
1,detail engineering
1,architecture
1,design
2,Salary
2,International Voice Process
2,international international bpo
2,international international call center
2,international technical support
3,International Voice Process
3,international international bpo
3,international bpo
3,international international call center
3,international call center
4,M.I.S. Costing
4,Marketing Support
4,Budgeting
4,Merchandising
4,merchandising
5,.Net Developer
5,asp.net
5,WCF
5,agile methodology
5,MVC
5,jQuery
5,C#
5,VB.Net
5,ASP.NET.
5,Web Services
5,Entity Framework
5,LINQ
5,Ajax
5,JavaScript
6,2008
6,WCF Web Services
6,SQL Server
6,.Net
6,.Net Developer
6,SQL Server 2005
6,JQuery
6,.NET 4.0
6,ASP.NET
7,MVVM pattern
7,RIA
7,LinQ
7,Hibernate
7,SOA
7,WPF
7,WCF
7,.Net Architecture
7,OOPS
8,Rest
8,Javascript
8,Entity Framework
8,MVC
8,JQuery
8,SQL Server
8,C#
8,Net
8,SOAP
8,.Net
9,.net Support Analyst
9,SQL queries
9,.net
9,SQL
9,C#
9,DB
9,C#.net
9,IIS
9,ITIL
10,.net mvc wcf developer
10,SQL Server 2012 R2
10,ASP.Net MVC 4
10,Angular JS
10,Bootstrap
10,Web Services
10,WCF
10,SQL Programming
10,Jquery
11,Design Development
12,WebDynPro JAVA
12,SAP TPOS
12,SAP EP
12,SAP BPC
12,SAP enterprise portal
13,helpdesk
13,fresher
13,interglobe
13,christian
13,xavier
13,job
13,Customer Service
13,Voice
13,Technical Support
13,tse
13,bpo
13,customer care
14,C#
14,SQL Server
14,asp.net
14,MVC
15,Finance Control
15,cost
15,Accounting
15,Taxation
15,Auditing
15,Service Tax
15,Income Tax
15,VAT
15,Balance Sheet
15,Accounts Finalisation
15,Budgeting
15,Tax
16,Animator
16,2 D Animator
16,2 D
16,animation
16,graphic design
16,Photoshop
16,Illustrator
17,Echo
17,Cardiac
17,Technician Activities
17,TMT
17,ECG
17,Cardiology
17,Stress Testing
17,Report Generation
18,2D Flash Animator
18,Animators
18,Character Designing
18,Animation
18,Flash
19,2D Game Artist
19,3D modelling
19,Unity animations
19,graphic design
19,Photoshop
19,design
19,Flash animations
20,2D
20,3D
20,Maya
20,Flash
20,photoshop
20,illustrator
20,dreamweaver
20,action script
20,web designer
20,css
20,html
21,International BPO
21,Salary
21,Jobs
21,Inbound
21,Fresher
21,Communication
21,Day Shif
21,domestic shif
21,outbound shif
21,inbound shif
21,fresher shif
21,call center shif
21,bpo shif
21,telesales shif
21,Non Voice
21,Hiring
21,Domestic BPO
21,Bpo
21,Call Center
21,Voice Process
22,Maya
22,Animation
22,3D Animator
23,3D Designing
23,stall designing
23,lightning
23,dobe illustrator
23,exhibition
23,photo shop
23,coral draw
23,flash
23,illustrator
24,VRAY
24,3DSmax
24,Exhibition Stall
24,Exhibition Stall Designing
24,Booth Designing
24,Photoshop
24,Corel Draw
24,AutoCAD
24,Design
24,3D Modeling
24,Architecture
25,3D Graphic Designer
25,Game Design
25,Blender3d
25,Blender
25,3D Blender
25,3D
25,Graphic Design
25,3D Modeling
25,Animation
25,Simulations
26,Texturing
26,3D Modeler
26,Time Management
26,3D Modeling
26,Maya
26,Art
27,3D Modeler
27,tyre design
27,CATIA
28,Game Engineer
28,Data Structure
28,Algorithm
28,system architecture
28,OOPs
28,design patterns
28,Troubleshooting
29,3D Modelling
29,graphics visualiser
29,3d graphic designer
29,direct3d visualiser
29,Architecture
29,Interior Design
29,3D Visualiser
30,3D Visualizer
30,3D Realistic Rendering
30,3D designing
30,Keyshot
30,3D An
30,3D
30,3D Modeling
30,2D Animation
30,Maya
31,VRAY
31,3DSmax
31,Interior Designing
31,Key Skills
31,Photoshop
31,Corel Draw
31,AutoCAD
31,Architecture
31,Design
31,3D Modeling
32,xml
32,C++
